visited,visit,count
防城港市,桂林市,1
防城港市,十堰市,1
佛山市,保定市,1
佛山市,广州市,4
佛山市,广州市,4
佛山市,清远市,1
佛山市,韶关市,1
佛山市,延安市,1
佛山市,云浮市,2
佛山市,云浮市,2
佛山市,湛江市,2
佛山市,湛江市,2
佛山市,肇庆市,2
佛山市,淄博市,1
福州市,定西市,3
福州市,定西市,3
福州市,抚州市,1
福州市,惠州市,1
福州市,吉安市,2
福州市,吉安市,2
福州市,龙岩市,1
福州市,南平市,1
福州市,南阳市,1
福州市,宁德市,1
福州市,莆田市,1
福州市,青岛市,1
福州市,泉州市,1
福州市,三明市,1
福州市,咸阳市,2
福州市,咸阳市,2
福州市,孝感市,1
抚州市,莆田市,2
抚州市,宜春市,1
抚州市,鹰潭市,1
阜阳市,合肥市,2
阜阳市,淮北市,2
赣州市,抚州市,2
赣州市,抚州市,2
赣州市,河源市,2
赣州市,龙岩市,3
赣州市,龙岩市,3
赣州市,梅州市,1
赣州市,萍乡市,1
广安市,白城市,1
广安市,眉山市,1
广安市,南充市,1
广元市,乐山市,1
广元市,绵阳市,1
广州市,保定市,1
广州市,毕节市,3
广州市,毕节市,3
广州市,毕节市,3
广州市,东莞市,2
广州市,佛山市,4
广州市,佛山市,4
广州市,赣州市,1
广州市,杭州市,2
广州市,河源市,1
广州市,昆明市,1
广州市,梅州市,1
广州市,齐齐哈尔市,2
广州市,齐齐哈尔市,2
广州市,黔南布依族苗族自治州,1
广州市,三亚市,1
广州市,厦门市,1
广州市,韶关市,1
广州市,西安市,1
广州市,襄阳市,1
广州市,延安市,1
广州市,云浮市,1
广州市,张家界市,1
广州市,长沙市,1
广州市,昭通市,1
广州市,肇庆市,1
广州市,中山市,1
广州市,株洲市,1
贵安新区,合肥市,1
贵安新区,衡水市,1
贵安新区,黔东南苗族侗族自治州,1
贵安新区,黔南布依族苗族自治州,1
贵安新区,石家庄市,1
贵港市,钦州市,1
贵阳市,毕节市,1
贵阳市,防城港市,1
贵阳市,福州市,1
贵阳市,合肥市,1
贵阳市,绵阳市,1
贵阳市,黔南布依族苗族自治州,2
贵阳市,黔南布依族苗族自治州,2
贵阳市,三亚市,1
贵阳市,随州市,1
贵阳市,铜仁市,1
贵阳市,武汉市,1
贵阳市,肇庆市,1
桂林市,柳州市,1
桂林市,梧州市,1
桂林市,永州市,1
桂林市,肇庆市,1
哈尔滨市,滨州市,1
哈尔滨市,黑河市,1
哈密市,南阳市,1
哈密市,濮阳市,1
哈密市,三门峡市,1
哈密市,信阳市,1
海北藏族自治州,果洛藏族自治州,1
海北藏族自治州,海东市,1
海东市,无锡市,3
海口市,清远市,1
海口市,宜昌市,1
海西蒙古族藏族自治州,海东市,1
邯郸市,邢台市,1
杭州市,安庆市,1
杭州市,滨州市,1
杭州市,常州市,1
杭州市,德州市,1
杭州市,东莞市,1
杭州市,抚州市,1
杭州市,广州市,2
杭州市,海西蒙古族藏族自治州,1
杭州市,湖州市,1
杭州市,惠州市,1
杭州市,吉安市,1
杭州市,济南市,1
杭州市,济宁市,1
杭州市,济源市,1
杭州市,昆明市,1
杭州市,辽源市,1
杭州市,聊城市,1
杭州市,临沂市,1
杭州市,吕梁市,1
杭州市,南昌市,1
杭州市,宁波市,1
杭州市,黔东南苗族侗族自治州,2
杭州市,黔东南苗族侗族自治州,2
杭州市,清远市,1
杭州市,石家庄市,1
杭州市,泰安市,1
杭州市,唐山市,1
杭州市,潍坊市,1
杭州市,温州市,2
杭州市,无锡市,1
杭州市,西安市,1
杭州市,宣城市,1
杭州市,烟台市,1
杭州市,伊春市,1
杭州市,永州市,1
杭州市,枣庄市,1
杭州市,肇庆市,2
杭州市,肇庆市,2
杭州市,郑州市,1
杭州市,舟山市,1
合肥市,蚌埠市,1
合肥市,阜阳市,2
合肥市,哈尔滨市,1
合肥市,淮北市,2
合肥市,淮北市,2
合肥市,济南市,1
合肥市,临沂市,1
合肥市,芜湖市,1
合肥市,枣庄市,1
河池市,钦州市,1
河源市,赣州市,2
河源市,肇庆市,1
贺州市,永州市,1
鹤岗市,汕头市,2
衡阳市,郴州市,2
衡阳市,永州市,1
葫芦岛市,铁岭市,1
湖州市,安庆市,1
湖州市,白山市,1
湖州市,池州市,1
湖州市,滁州市,1
湖州市,抚州市,1
湖州市,鹤岗市,1
湖州市,吉安市,1
湖州市,济源市,1
湖州市,晋中市,1
湖州市,吕梁市,1
湖州市,马鞍山市,1
湖州市,攀枝花市,1
湖州市,清远市,1
湖州市,衢州市,1
湖州市,台州市,1
湖州市,唐山市,1
湖州市,咸宁市,1
湖州市,许昌市,1
湖州市,宣城市,2
湖州市,枣庄市,1
湖州市,淄博市,1
淮安市,滁州市,2
淮安市,滁州市,2
淮安市,连云港市,1
淮安市,苏州市,2
淮安市,泰州市,2
淮安市,宿迁市,1
淮安市,盐城市,1
淮安市,扬州市,1
淮北市,阜阳市,2
黄冈市,巴中市,1
黄冈市,邵阳市,1
黄山市,池州市,1
黄山市,杭州市,1
黄山市,泰安市,1
惠州市,大庆市,1
惠州市,河源市,1
惠州市,湛江市,1
惠州市,肇庆市,1
吉安市,上饶市,1
吉安市,文山壮族苗族自治州,1
吉安市,宜春市,2
济宁市,莱芜市,1
济宁市,聊城市,1
济宁市,徐州市,2
嘉兴市,抚州市,2
嘉兴市,抚州市,2
嘉兴市,广州市,1
嘉兴市,黄石市,1
嘉兴市,济源市,1
嘉兴市,丽水市,2
嘉兴市,威海市,1
嘉兴市,肇庆市,1
江门市,茂名市,1
江门市,梅州市,1
江门市,七台河市,1
江门市,阳江市,1
揭阳市,常德市,1
揭阳市,潮州市,2
揭阳市,茂名市,1
揭阳市,汕头市,2
揭阳市,湛江市,2
金华市,湖州市,1
金华市,曲靖市,1
金华市,邵阳市,1
金华市,四平市,3
金华市,四平市,3
金华市,温州市,1
金华市,宿迁市,1
金华市,肇庆市,1
荆门市,荆州市,1
荆门市,十堰市,1
荆门市,随州市,1
荆门市,孝感市,1
荆州市,常德市,1
荆州市,咸宁市,1
景德镇市,抚州市,1
景德镇市,鹰潭市,2
九江市,东营市,1
九江市,景德镇市,1
九江市,南昌市,2
九江市,宜春市,1
喀什地区,临沂市,1
克孜勒苏柯尔克孜自治州,常州市,1
昆明市,贵阳市,1
昆明市,曲靖市,1
拉萨市,镇江市,1
乐山市,台州市,1
丽江市,临沧市,1
丽江市,上饶市,1
丽水市,滨州市,1
丽水市,广元市,1
丽水市,湖州市,1
丽水市,吉安市,1
丽水市,嘉兴市,2
丽水市,绵阳市,1
丽水市,宁波市,3
丽水市,绍兴市,1
丽水市,温州市,1
丽水市,宿迁市,1
连云港市,海南藏族自治州,1
连云港市,钦州市,1
辽源市,绍兴市,4
聊城市,海北藏族自治州,1
聊城市,莱芜市,1
临汾市,三门峡市,1
临沂市,大庆市,1
临沂市,海北藏族自治州,2
临沂市,海北藏族自治州,2
临沂市,聊城市,1
柳州市,梧州市,1
柳州市,新余市,1
柳州市,肇庆市,1
六盘水市,安顺市,2
六盘水市,黔西南布依族苗族自治州,1
六盘水市,清远市,1
六盘水市,商洛市,1
龙岩市,白银市,1
龙岩市,赣州市,3
陇南市,白银市,1
陇南市,绵阳市,1
娄底市,新余市,1
泸州市,毕节市,1
泸州市,防城港市,1
泸州市,钦州市,1
泸州市,遵义市,1
洛阳市,宝鸡市,1
洛阳市,焦作市,1
洛阳市,西宁市,1
吕梁市,日照市,1
马鞍山市,滁州市,2
马鞍山市,铜陵市,1
茂名市,来宾市,1
茂名市,伊春市,2
茂名市,湛江市,2
茂名市,湛江市,2
茂名市,珠海市,2
眉山市,绵阳市,1
眉山市,雅安市,1
梅州市,龙岩市,1
绵阳市,荆门市,1
牡丹江市,鸡西市,1
牡丹江市,双鸭山市,1
那曲市,湖州市,1
南昌市,惠州市,1
南昌市,九江市,2
南昌市,南宁市,1
南昌市,萍乡市,1
南昌市,莆田市,1
南昌市,上饶市,1
南昌市,宜春市,1
南昌市,鹰潭市,1
南昌市,张家界市,1
南昌市,长沙市,1
南充市,百色市,1
南充市,延边朝鲜族自治州,1
南京市,安庆市,1
南京市,鞍山市,1
南京市,常州市,1
南京市,滁州市,4
南京市,滁州市,4
南京市,滁州市,4
南京市,东莞市,1
南京市,淮安市,1
南京市,吉林市,1
南京市,吕梁市,1
南京市,马鞍山市,1
南京市,宁德市,1
南京市,商洛市,1
南京市,苏州市,3
南京市,无锡市,2
南京市,西安市,1
南京市,西宁市,2
南京市,西宁市,2
南京市,宣城市,2
南京市,延安市,1
南京市,扬州市,1
南京市,镇江市,1
南宁市,梧州市,1
南宁市,肇庆市,1
南通市,安庆市,1
南通市,汉中市,1
南通市,济宁市,1
南通市,嘉兴市,1
南通市,焦作市,1
南通市,辽阳市,1
南通市,马鞍山市,1
南通市,宁德市,1
南通市,扬州市,1
内江市,绵阳市,1
内江市,自贡市,2
宁波市,海西蒙古族藏族自治州,1
宁波市,丽水市,3
宁波市,丽水市,3
宁波市,南通市,1
宁波市,黔西南布依族苗族自治州,4
宁波市,上饶市,1
宁波市,台州市,2
宁波市,唐山市,1
宁波市,温州市,1
宁波市,永州市,1
宁波市,舟山市,3
宁德市,丽水市,1
宁德市,三明市,1
宁德市,咸阳市,1
怒江傈僳族自治州,楚雄彝族自治州,1
攀枝花市,丽江市,1
平顶山市,许昌市,1
萍乡市,宜春市,1
莆田市,抚州市,2
莆田市,绵阳市,1
濮阳市,菏泽市,1
濮阳市,鹤壁市,1
浦东新区,大理白族自治州,1
浦东新区,吉安市,1
浦东新区,马鞍山市,1
齐齐哈尔市,滨州市,1
黔东南苗族侗族自治州,贵阳市,1
黔东南苗族侗族自治州,怀化市,1
黔东南苗族侗族自治州,柳州市,1
黔东南苗族侗族自治州,永州市,1
黔西南布依族苗族自治州,贵阳市,1
黔西南布依族苗族自治州,宁波市,4
黔西南布依族苗族自治州,宁波市,4
黔西南布依族苗族自治州,宁波市,4
钦州市,桂林市,1
钦州市,玉林市,1
秦皇岛市,衡水市,1
秦皇岛市,石家庄市,1
秦皇岛市,邢台市,1
青岛市,成都市,1
青岛市,连云港市,1
青岛市,陇南市,1
青岛市,三亚市,1
青岛市,威海市,2
青岛市,威海市,2
青岛市,长春市,1
清远市,黔南布依族苗族自治州,1
清远市,韶关市,1
清远市,肇庆市,2
琼海市,清远市,1
琼海市,湛江市,1
衢州市,安庆市,1
衢州市,衡水市,1
衢州市,宁波市,1
衢州市,绍兴市,2
衢州市,温州市,1
曲靖市,毕节市,1
曲靖市,迪庆藏族自治州,1
泉州市,赣州市,1
泉州市,南平市,1
日照市,连云港市,1
三亚市,清远市,1
三亚市,宜春市,1
三亚市,张家界市,1
厦门市,白银市,1
厦门市,滨州市,1
厦门市,赣州市,1
厦门市,吉安市,2
厦门市,吉安市,2
厦门市,嘉兴市,1
厦门市,南平市,1
厦门市,宁德市,1
厦门市,泉州市,1
厦门市,沈阳市,1
厦门市,威海市,1
厦门市,西安市,1
汕头市,常德市,1
汕头市,潮州市,4
汕头市,潮州市,4
汕头市,鹤岗市,2
汕头市,揭阳市,2
汕头市,茂名市,1
汕尾市,佛山市,1
上海市,保山市,1
上海市,楚雄彝族自治州,1
上海市,大连市,1
上海市,德宏傣族景颇族自治州,1
上海市,迪庆藏族自治州,1
上海市,东莞市,1
上海市,广州市,1
上海市,果洛藏族自治州,1
上海市,海口市,1
上海市,黄石市,1
上海市,吉林市,1
上海市,焦作市,1
上海市,丽江市,1
上海市,临沧市,1
上海市,南通市,1
上海市,普洱市,1
上海市,曲靖市,1
上海市,三沙市,1
上海市,深圳市,1
上海市,苏州市,1
上海市,温州市,1
上海市,文山壮族苗族自治州,1
上海市,西宁市,2
上海市,西宁市,2
上海市,西双版纳傣族自治州,1
上海市,徐州市,1
上海市,盐城市,1
上饶市,抚州市,1
上饶市,新余市,1
上饶市,宜春市,1
上饶市,鹰潭市,2
韶关市,赣州市,1
邵阳市,桂林市,1
邵阳市,娄底市,1
绍兴市,安庆市,1
绍兴市,东莞市,1
绍兴市,吉林市,1
绍兴市,辽源市,4
绍兴市,辽源市,4
绍兴市,辽源市,4
绍兴市,吕梁市,1
绍兴市,南通市,1
绍兴市,衢州市,2
绍兴市,肇庆市,1
深圳市,保定市,1
深圳市,毕节市,1
深圳市,承德市,1
深圳市,滁州市,1
深圳市,大连市,1
深圳市,东莞市,2
深圳市,东莞市,2
深圳市,赣州市,1
深圳市,广安市,1
深圳市,广州市,2
深圳市,广州市,2
深圳市,哈尔滨市,2
深圳市,哈尔滨市,2
深圳市,杭州市,1
深圳市,河池市,1
深圳市,河源市,2
深圳市,河源市,2
深圳市,黑河市,1
深圳市,惠州市,1
深圳市,济南市,1
深圳市,佳木斯市,1
深圳市,焦作市,1
深圳市,昆明市,1
深圳市,梅州市,1
深圳市,南京市,2
深圳市,南京市,2
深圳市,宁波市,1
深圳市,七台河市,1
深圳市,青岛市,1
深圳市,厦门市,2
深圳市,厦门市,2
深圳市,汕头市,1
深圳市,汕尾市,2
深圳市,汕尾市,2
深圳市,石家庄市,1
深圳市,武汉市,2
深圳市,西安市,1
深圳市,徐州市,1
深圳市,烟台市,1
深圳市,延安市,1
深圳市,宜昌市,1
深圳市,玉溪市,1
深圳市,湛江市,1
深圳市,张家界市,1
深圳市,张家口市,1
深圳市,长沙市,1
深圳市,肇庆市,5
深圳市,肇庆市,5
深圳市,肇庆市,5
深圳市,肇庆市,5
深圳市,肇庆市,5
深圳市,中山市,1
深圳市,珠海市,2
深圳市,珠海市,2
深圳市,淄博市,1
沈阳市,本溪市,1
沈阳市,滨州市,1
沈阳市,抚顺市,1
沈阳市,阜新市,1
沈阳市,葫芦岛市,1
沈阳市,石家庄市,1
十堰市,平凉市,1
石河子市,铁岭市,1
双鸭山市,佛山市,1
四平市,金华市,3
苏州市,安庆市,1
苏州市,蚌埠市,1
苏州市,常州市,2
苏州市,滁州市,2
苏州市,滁州市,2
苏州市,德阳市,1
苏州市,德州市,1
苏州市,东莞市,1
苏州市,杭州市,1
苏州市,淮安市,2
苏州市,吉林市,1
苏州市,嘉兴市,1
苏州市,莱芜市,1
苏州市,连云港市,1
苏州市,临沂市,1
苏州市,吕梁市,1
苏州市,南京市,3
苏州市,南京市,3
苏州市,宁德市,1
苏州市,沈阳市,1
苏州市,泰州市,2
苏州市,唐山市,1
苏州市,铜仁市,3
苏州市,铜仁市,3
苏州市,西安市,1
苏州市,宿迁市,1
苏州市,许昌市,1
苏州市,烟台市,1
苏州市,漳州市,2
苏州市,漳州市,2
苏州市,肇庆市,1
苏州市,镇江市,1
苏州市,郑州市,1
绥化市,湛江市,2
遂宁市,绵阳市,1
塔城地区,鞍山市,1
塔城地区,朝阳市,1
塔城地区,丹东市,1
塔城地区,盘锦市,1
塔城地区,沈阳市,1
塔城地区,营口市,2
塔城地区,营口市,2
台州市,海西蒙古族藏族自治州,1
台州市,吉安市,1
台州市,金华市,1
台州市,宁波市,2
台州市,绍兴市,1
台州市,岳阳市,2
台州市,岳阳市,2
泰州市,淮安市,2
泰州市,辽阳市,1
泰州市,苏州市,2
泰州市,咸阳市,2
泰州市,扬州市,1
唐山市,海西蒙古族藏族自治州,1
天津市,沧州市,1
天津市,甘南藏族自治州,2
天津市,甘南藏族自治州,2
天津市,广州市,1
天津市,黄南藏族自治州,1
天津市,兰州市,1
天津市,南京市,1
天津市,平凉市,2
天津市,平凉市,2
天津市,深圳市,1
天津市,武汉市,2
天津市,武汉市,2
天津市,西安市,1
天津市,长春市,2
天津市,长春市,2
铁岭市,淮安市,1
铜川市,盐城市,3
铜陵市,蚌埠市,1
铜仁市,怀化市,1
铜仁市,苏州市,3
吐鲁番市,益阳市,1
威海市,海北藏族自治州,1
威海市,合肥市,1
威海市,牡丹江市,1
潍坊市,阜新市,1
潍坊市,临沂市,1
渭南市,汉中市,1
渭南市,三门峡市,1
渭南市,镇江市,1
温州市,杭州市,2
温州市,吉林市,2
温州市,吉林市,2
温州市,株洲市,1
文山壮族苗族自治州,昭通市,1
乌鲁木齐市,安庆市,1
乌鲁木齐市,淮安市,1
无锡市,滨州市,1
无锡市,常州市,1
无锡市,儋州市,1
无锡市,德州市,1
无锡市,海东市,3
无锡市,海东市,3
无锡市,淮安市,2
无锡市,淮安市,2
无锡市,吕梁市,1
无锡市,马鞍山市,1
无锡市,南京市,2
无锡市,宁德市,1
无锡市,盘锦市,1
无锡市,徐州市,2
无锡市,延安市,1
芜湖市,蚌埠市,1
芜湖市,滁州市,1
芜湖市,九江市,1
芜湖市,邵阳市,1
吴忠市,宁波市,1
武汉市,常德市,1
武汉市,黄冈市,1
武汉市,济宁市,1
武汉市,荆门市,1
武汉市,洛阳市,1
武汉市,南昌市,1
武汉市,宁波市,1
武汉市,深圳市,2
武汉市,咸宁市,1
武汉市,长沙市,1
武汉市,郑州市,1
西安市,丽水市,1
西安市,绵阳市,1
西安市,三门峡市,1
西安市,十堰市,1
西安市,太原市,1
西安市,襄阳市,1
西安市,延安市,1
西宁市,崇左市,1
西宁市,海东市,1
西宁市,青岛市,1
咸宁市,宜春市,1
咸阳市,金昌市,1
咸阳市,十堰市,1
咸阳市,泰州市,2
咸阳市,武威市,1
咸阳市,徐州市,2
湘潭市,柳州市,1
湘潭市,长沙市,1
湘潭市,株洲市,2
湘西土家族苗族自治州,济南市,1
湘西土家族苗族自治州,益阳市,1
湘西土家族苗族自治州,张家界市,1
湘西土家族苗族自治州,株洲市,1
襄阳市,荆州市,1
襄阳市,柳州市,1
襄阳市,洛阳市,1
襄阳市,孝感市,1
孝感市,十堰市,1
新乡市,绥化市,1
新余市,吉安市,1
新余市,莱芜市,1
新余市,宜春市,1
信阳市,黄冈市,1
邢台市,鹤岗市,1
雄安新区,廊坊市,1
雄安新区,深圳市,1
雄安新区,石家庄市,1
雄安新区,忻州市,1
雄安新区,肇庆市,1
宿迁市,滁州市,1
宿迁市,淮北市,1
宿迁市,连云港市,1
宿迁市,钦州市,1
宿迁市,宿州市,1
宿迁市,扬州市,2
宿州市,淮北市,1
宿州市,商丘市,1
徐州市,安阳市,1
徐州市,宝鸡市,3
徐州市,宝鸡市,3
徐州市,抚顺市,1
徐州市,贵港市,1
徐州市,海南藏族自治州,1
徐州市,鹤壁市,1
徐州市,淮北市,1
徐州市,济宁市,2
徐州市,济源市,1
徐州市,开封市,1
徐州市,连云港市,1
徐州市,临沂市,1
徐州市,平顶山市,1
徐州市,三门峡市,1
徐州市,商丘市,1
徐州市,唐山市,1
徐州市,铜川市,1
徐州市,无锡市,2
徐州市,咸阳市,2
徐州市,宿州市,1
徐州市,枣庄市,1
徐州市,郑州市,2
徐州市,驻马店市,1
许昌市,开封市,1
宣城市,湖州市,2
宣城市,南京市,2
雅安市,绵阳市,2
雅安市,绵阳市,2
烟台市,合肥市,1
烟台市,威海市,1
延安市,宿迁市,1
延边朝鲜族自治州,牡丹江市,1
延边朝鲜族自治州,宁波市,1
盐城市,济宁市,1
盐城市,三门峡市,1
盐城市,泰州市,1
盐城市,铜川市,3
盐城市,铜川市,3
盐城市,永州市,1
扬州市,滁州市,1
扬州市,丹东市,1
扬州市,海南藏族自治州,1
扬州市,淮北市,1
扬州市,马鞍山市,1
扬州市,宿迁市,2
扬州市,榆林市,2
阳江市,揭阳市,1
阳江市,梅州市,1
阳江市,湛江市,1
阳江市,珠海市,2
伊春市,佳木斯市,1
伊春市,茂名市,2
宜宾市,毕节市,1
宜宾市,泸州市,1
宜宾市,遵义市,1
宜昌市,十堰市,1
宜昌市,咸宁市,1
宜昌市,岳阳市,1
宜春市,吉安市,2
宜春市,莆田市,1
益阳市,平凉市,1
银川市,邯郸市,1
银川市,兰州市,1
鹰潭市,景德镇市,2
鹰潭市,上饶市,2
鹰潭市,宜春市,1
营口市,葫芦岛市,1
营口市,锦州市,1
永州市,怀化市,1
永州市,娄底市,1
永州市,清远市,1
榆林市,扬州市,2
玉林市,湛江市,1
玉溪市,迪庆藏族自治州,1
岳阳市,怀化市,1
岳阳市,益阳市,1
云浮市,梧州市,1
云浮市,肇庆市,3
云浮市,肇庆市,3
运城市,三门峡市,1
湛江市,北海市,1
湛江市,海口市,2
湛江市,海口市,2
湛江市,揭阳市,2
湛江市,汕尾市,1
湛江市,绥化市,2
湛江市,伊春市,1
张家界市,株洲市,1
张家口市,石家庄市,1
漳州市,潮州市,2
漳州市,宁德市,1
漳州市,厦门市,1
长春市,滨州市,1
长春市,嘉兴市,1
长沙市,福州市,1
长沙市,济宁市,1
长沙市,嘉兴市,1
长沙市,柳州市,1
长沙市,娄底市,1
长沙市,萍乡市,1
长沙市,清远市,1
长沙市,商丘市,1
长沙市,邵阳市,1
长沙市,湘西土家族苗族自治州,1
长沙市,益阳市,1
长沙市,永州市,1
长沙市,张家界市,1
长沙市,株洲市,2
昭通市,毕节市,3
肇庆市,佛山市,2
肇庆市,鸡西市,1
肇庆市,揭阳市,1
肇庆市,茂名市,1
肇庆市,清远市,2
肇庆市,梧州市,1
肇庆市,永州市,1
肇庆市,云浮市,3
肇庆市,中山市,4
镇江市,朝阳市,1
镇江市,海南藏族自治州,1
镇江市,淮安市,1
镇江市,淮北市,1
镇江市,马鞍山市,1
镇江市,庆阳市,1
郑州市,安康市,1
郑州市,郴州市,1
郑州市,合肥市,1
郑州市,焦作市,1
郑州市,漯河市,1
郑州市,平顶山市,1
郑州市,西宁市,1
郑州市,新乡市,1
郑州市,徐州市,2
中山市,阳江市,1
中山市,昭通市,1
中山市,肇庆市,4
中山市,肇庆市,4
中山市,肇庆市,4
重庆市,安庆市,1
重庆市,湖州市,1
重庆市,济宁市,1
重庆市,绵阳市,1
重庆市,宁波市,1
重庆市,清远市,1
重庆市,潍坊市,1
重庆市,温州市,1
重庆市,西安市,1
重庆市,遵义市,1
舟山市,丽水市,1
舟山市,南通市,1
舟山市,宁波市,3
舟山市,宁波市,3
珠海市,佛山市,1
珠海市,贺州市,1
珠海市,茂名市,2
珠海市,梅州市,1
珠海市,南京市,1
珠海市,怒江傈僳族自治州,1
珠海市,厦门市,1
珠海市,威海市,1
珠海市,阳江市,2
珠海市,玉溪市,1
珠海市,肇庆市,1
株洲市,海口市,1
株洲市,衡阳市,1
株洲市,柳州市,1
株洲市,萍乡市,1
株洲市,湘潭市,2
株洲市,张家口市,1
株洲市,长沙市,2
资阳市,开封市,1
淄博市,菏泽市,1
淄博市,莱芜市,1
自贡市,绵阳市,1
自贡市,内江市,2
自贡市,宜宾市,1
遵义市,毕节市,3
遵义市,毕节市,3
遵义市,赣州市,1
遵义市,河池市,1
遵义市,焦作市,1
遵义市,六盘水市,1
遵义市,咸阳市,1
遵义市,湘西土家族苗族自治州,1
